location,activity,date,change,value,source,roll
Greater London,Retail & recreation,07/04/2020,-79,21,Google,37.28571429
Greater London,Grocery & pharmacy,07/04/2020,-33,67,Google,44.57142857
Greater London,Retail & recreation,08/04/2020,-80,20,Google,38.57142857
Greater London,Grocery & pharmacy,08/04/2020,-33,67,Google,45.85714286
Greater London,Retail & recreation,09/04/2020,-78,22,Google,40.57142857
Greater London,Grocery & pharmacy,09/04/2020,-26,74,Google,48
Greater London,Retail & recreation,10/04/2020,-83,17,Google,41.14285714
Greater London,Grocery & pharmacy,10/04/2020,-35,65,Google,47.42857143
Greater London,Retail & recreation,11/04/2020,-84,16,Google,40.14285714
Greater London,Grocery & pharmacy,11/04/2020,-36,64,Google,46.42857143
Greater London,Retail & recreation,12/04/2020,-89,11,Google,38.42857143
Greater London,Grocery & pharmacy,12/04/2020,-60,40,Google,41
Greater London,Retail & recreation,13/04/2020,-83,17,Google,32.85714286
Greater London,Grocery & pharmacy,13/04/2020,-43,57,Google,38.57142857
Greater London,Retail & recreation,14/04/2020,-78,22,Google,32.42857143
Greater London,Grocery & pharmacy,14/04/2020,-32,68,Google,39.85714286
Greater London,Retail & recreation,15/04/2020,-79,21,Google,33.71428571
Greater London,Grocery & pharmacy,15/04/2020,-32,68,Google,41.85714286
Greater London,Retail & recreation,16/04/2020,-79,21,Google,39.14285714
Greater London,Grocery & pharmacy,16/04/2020,-32,68,Google,46.42857143
Greater London,Retail & recreation,17/04/2020,-81,19,Google,41
Greater London,Grocery & pharmacy,17/04/2020,-34,66,Google,47.28571429
Greater London,Retail & recreation,18/04/2020,-84,16,Google,39.85714286
Greater London,Grocery & pharmacy,18/04/2020,-38,62,Google,45.71428571
Greater London,Retail & recreation,19/04/2020,-83,17,Google,38.42857143
Greater London,Grocery & pharmacy,19/04/2020,-42,58,Google,43.71428571
Greater London,Retail & recreation,20/04/2020,-77,23,Google,37.28571429
Greater London,Grocery & pharmacy,20/04/2020,-34,66,Google,44
Greater London,Retail & recreation,21/04/2020,-78,22,Google,37.71428571
Greater London,Grocery & pharmacy,21/04/2020,-33,67,Google,45
Greater London,Retail & recreation,22/04/2020,-79,21,Google,39.14285714
Greater London,Grocery & pharmacy,22/04/2020,-32,68,Google,46.42857143
Greater London,Retail & recreation,23/04/2020,-78,22,Google,41.28571429
Greater London,Grocery & pharmacy,23/04/2020,-30,70,Google,48
Greater London,Retail & recreation,24/04/2020,-79,21,Google,41.57142857
Greater London,Grocery & pharmacy,24/04/2020,-30,70,Google,48.42857143
Greater London,Retail & recreation,25/04/2020,-82,18,Google,41.42857143
Greater London,Grocery & pharmacy,25/04/2020,-35,65,Google,47.71428571
Greater London,Retail & recreation,26/04/2020,-81,19,Google,40.71428571
Greater London,Grocery & pharmacy,26/04/2020,-38,62,Google,46.42857143
Greater London,Retail & recreation,27/04/2020,-76,24,Google,39.85714286
Greater London,Grocery & pharmacy,27/04/2020,-32,68,Google,46.57142857
Greater London,Retail & recreation,28/04/2020,-82,18,Google,39.14285714
Greater London,Grocery & pharmacy,28/04/2020,-42,58,Google,44.85714286
Greater London,Retail & recreation,29/04/2020,-79,21,Google,38.57142857
Greater London,Grocery & pharmacy,29/04/2020,-33,67,Google,45.42857143
Greater London,Retail & recreation,30/04/2020,-81,19,Google,39.28571429
Greater London,Grocery & pharmacy,30/04/2020,-35,65,Google,45.14285714
Greater London,Retail & recreation,01/05/2020,-80,20,Google,38.28571429
Greater London,Grocery & pharmacy,01/05/2020,-30,70,Google,45.71428571
Greater London,Retail & recreation,02/05/2020,-81,19,Google,40.14285714
Greater London,Grocery & pharmacy,02/05/2020,-31,69,Google,47
Greater London,Retail & recreation,03/05/2020,-82,18,Google,40
Greater London,Grocery & pharmacy,03/05/2020,-40,60,Google,45.85714286
Greater London,Retail & recreation,04/05/2020,-75,25,Google,40.14285714
Greater London,Grocery & pharmacy,04/05/2020,-29,71,Google,47.42857143
Greater London,Retail & recreation,05/05/2020,-77,23,Google,40.71428571
Greater London,Grocery & pharmacy,05/05/2020,-29,71,Google,48.14285714
Greater London,Retail & recreation,06/05/2020,-77,23,Google,41.57142857
Greater London,Grocery & pharmacy,06/05/2020,-27,73,Google,49.42857143
Greater London,Retail & recreation,07/05/2020,-75,25,Google,44.42857143
Greater London,Grocery & pharmacy,07/05/2020,-22,78,Google,52
Greater London,Retail & recreation,08/05/2020,-79,21,Google,44.85714286
